"","section","roadkill","precip","habitat","wetland","waterPermanent","waterSeasonal","water.dist","road.width","speed","infrastructure","guineafowl","owls","traffic"
"0","1",1,844.2,"7",0.0313364146812493,0.0816077288546223,0.00112199456875195,735.360954898527,38.7,"120",10,0,2,1181902
"1","2",4,843.3,"32",0.0455050418731841,0.00898884806016066,0.00060352931122885,800.118461454499,32.3,"100",6,0,0,312981
"2","3",2,855.3,"7",0.0447704381883474,0.0048481691650431,0.00044575109058764,588.442223686981,34.5,"100",8,0,2,312981
"3","4",2,876.4,"7",0.0430171277997365,0.0179639201378332,0.00097800749974663,838.684786489909,31.9,"120",1,0,2,312981
"4","5",0,857.3,"7",0.0676975927605478,0.0144353298237258,0.000952559496967517,587.735596572883,38,"120",10,0,0,723166
"5","6",1,875.5,"7",0.0421463505906934,0.00947500272867605,0.000899163725760261,1242.89824537414,39.6,"120",4,0,1,422842
"6","7",1,863.9,"7",0.0206799821686799,0.00100029356441564,0.000157654963956813,4047.13463181708,39.4,"120",1,1,1,115947
"7","8",0,823.4,"7",0.0312462840649897,0.0257656177370361,0.000308084793583188,1113.28170165758,48.1,"120",8,1,1,255021
"8","9",0,816,"7",0.0123644218473781,0.00243518485498423,0.000310766268104682,1752.93162530148,47.4,"120",3,0,2,255021
"9","10",0,795.3,"7",0.00805688138534969,0.00143978541280423,0.000202161650427991,7233.93818770308,53,"120",7,0,1,255021
"10","11",0,779.7,"7",0.0120786713461519,0.00970893201747808,0.00133485316615172,4795.68480776897,40.8,"120",0,1,0,128963
"11","12",0,778.6,"7",0.0271592595958678,0.00465529603037555,0.00112595554747695,883.407249662366,35.7,"120",3,0,1,128963
"12","13",1,788.9,"7",0.0123950769864566,0.00393944075390082,0.000813636129563829,1382.05261880349,31.1,"120",3,0,0,115947
"13","14",0,788.3,"7",0.00219531504227924,0.00236044935961883,0.000563399435629186,3224.6177006826,33.8,"120",5,0,2,276246
"14","15",0,789.4,"7",0.002096162089262,0.0025823044191906,0.000386822929190495,1873.51578974797,32.3,"120",6,0,2,276246
"15","16",0,811.5,"7",0.00447635225366708,0.00115380917278292,0.000170934692264137,8126.87510056979,21.5,"100",2,0,0,203610
"16","17",0,841.1,"7",0.00705398643420703,0.000406634926551566,7.90679023850268e-05,10874.3278773423,19.6,"100",0,0,0,170725
"17","18",1,806.5,"7",0.0155587428286356,0.000355450236966825,0.000187079072087802,4622.77480929371,21.1,"100",0,0,1,203610
"18","19",0,772.2,"7",0.00860713321981223,0.00184704426392727,0.000153532646623678,1367.5207560665,25.1,"100",1,0,0,170725
"19","20",1,737.5,"7",0.00674751243781095,0.00278606965174129,0.000323383084577114,2766.61711699427,34.5,"100",6,0,0,81686
"20","21",2,712.7,"7",0.0152323540280857,0.00219997228381375,0.000502355875831486,1745.7007664959,20.6,"100",2,0,0,81686
"21","22",0,702.1,"7",0.00551166082705031,0.00435712349533667,0.00108928087383417,543.749962248918,20.9,"100",1,0,1,81686
"22","23",2,690.5,"7",0.00924194025584579,0.00218637327810568,0.000421227879268066,3470.9578384965,20.8,"100",0,0,0,81686
"23","24",1,673.2,"7",0.0141393504799086,0.00184580219068907,0.000192165707523793,2113.30201097479,19,"100",2,1,1,115947
"24","25",0,688.2,"7",0.0228204281687279,0.00105137516824542,0.00036569571069406,3807.32583017333,20.3,"100",2,1,2,115947
"25","26",2,680.2,"7",0.0272921393300414,0.00213019330862651,0.000651890482398957,3227.46459607317,21.1,"120",2,0,3,43488
"26","27",2,679.4,"7",0.031195430641874,0.000301939964270438,0.0001610346476109,4930.64258229907,21.4,"120",1,0,1,43488
"27","28",1,680.3,"7",0.0385248128084624,0.00199875974395375,0.000379251848852763,1463.20731648829,22,"120",4,4,0,115947
"28","29",1,676,"7",0.0338466298077883,0.00128240953274386,0.00028941538093052,2859.27592645486,18.5,"120",2,1,0,115947
"29","30",1,683.1,"7",0.0464572850372718,0.000439085692367479,0.000282629870949182,2396.539851939,22.5,"120",2,2,1,115947
"30","31",0,687.7,"7",0.0538177352400865,0.000268961807423346,0.00015731728358724,5846.41721870789,21,"120",4,2,3,115947
"31","32",2,693.5,"7",0.0516156084549165,0.000121246413126945,0.000131350280887524,11470.8969619786,19.8,"120",4,2,4,115947
"32","33",2,703.6,"7",0.0580754211702653,0.000952056084758448,0.000224013196413752,14753.9385727016,21.6,"120",0,9,3,115947
"33","34",3,714.6,"7",0.0839940786405208,0.000958165189706568,0.000258552511508122,15877.7019565437,17.9,"120",3,4,2,115947
"34","35",4,714.8,"7",0.0495496175143715,0.00184578863456906,0.000357087174535158,9176.86425479402,17.9,"120",3,4,2,115947
"35","36",1,699.4,"7",0.0689458540413288,0.00804080565001308,0.00245880198796756,1925.966515548,24.7,"120",1,0,1,115947
"36","37",7,696.4,"7",0.0544583932913214,0.0119337071403761,0.0106535007194959,3716.99812929526,31.8,"120",2,0,17,115947
"37","38",2,692.1,"7",0.0765822204565596,0.0039625543705243,0.00432417565626623,7286.08575198656,31.6,"120",4,1,4,115947
"38","39",10,672.6,"11",0.112248670185455,0.00394323386252079,0.00531925817912961,3511.22590452495,34,"120",4,1,9,115947
"39","40",2,671.8,"7",0.0749641964345295,0.00370611817486513,0.00233557308803827,2549.92441825647,31.5,"120",5,0,0,285676
"40","41",0,669.7,"7",0.0559709262546233,0.00157664580998939,0.00064949874562456,940.183882791164,35.8,"120",1,0,1,115947
"41","42",2,678.6,"7",0.0364190633238226,0.00111741540731419,0.000216973865497901,3735.26975271815,47.7,"100",3,1,0,170725
