"","section","roadkill","precip","habitat","wetland","waterPermanent","roadkill2"
"0","1",1,844.2,"7",0.0313364146812493,0.0816077288546223,1
"1","2",4,843.3,"32",0.0455050418731841,0.00898884806016066,4
"2","3",2,855.3,"7",0.0447704381883474,0.0048481691650431,2
"3","4",2,876.4,"7",0.0430171277997365,0.0179639201378332,2
"4","5",0,857.3,"7",0.0676975927605478,0.0144353298237258,0
"5","6",1,875.5,"7",0.0421463505906934,0.00947500272867605,1
"6","7",1,863.9,"7",0.0206799821686799,0.00100029356441564,1
"7","8",0,823.4,"7",0.0312462840649897,0.0257656177370361,0
"8","9",0,816,"7",0.0123644218473781,0.00243518485498423,0
"9","10",0,795.3,"7",0.00805688138534969,0.00143978541280423,0
"10","11",0,779.7,"7",0.0120786713461519,0.00970893201747808,0
"11","12",0,778.6,"7",0.0271592595958678,0.00465529603037555,0
"12","13",1,788.9,"7",0.0123950769864566,0.00393944075390082,1
"13","14",0,788.3,"7",0.00219531504227924,0.00236044935961883,0
"14","15",0,789.4,"7",0.002096162089262,0.0025823044191906,0
"15","16",0,811.5,"7",0.00447635225366708,0.00115380917278292,0
"16","17",0,841.1,"7",0.00705398643420703,0.000406634926551566,1
"17","18",1,806.5,"7",0.0155587428286356,0.000355450236966825,0
"18","19",0,772.2,"7",0.00860713321981223,0.00184704426392727,2
"19","20",1,737.5,"7",0.00674751243781095,0.00278606965174129,0
"20","21",2,712.7,"7",0.0152323540280857,0.00219997228381375,1
"21","22",0,702.1,"7",0.00551166082705031,0.00435712349533667,2
"22","23",2,690.5,"7",0.00924194025584579,0.00218637327810568,2
"23","24",1,673.2,"7",0.0141393504799086,0.00184580219068907,0
"24","25",0,688.2,"7",0.0228204281687279,0.00105137516824542,1
"25","26",2,680.2,"7",0.0272921393300414,0.00213019330862651,0
"26","27",2,679.4,"7",0.031195430641874,0.000301939964270438,2
"27","28",1,680.3,"7",0.0385248128084624,0.00199875974395375,2
"28","29",1,676,"7",0.0338466298077883,0.00128240953274386,1
"29","30",1,683.1,"7",0.0464572850372718,0.000439085692367479,1
"30","31",0,687.7,"7",0.0538177352400865,0.000268961807423346,1
"31","32",2,693.5,"7",0.0516156084549165,0.000121246413126945,2
"32","33",2,703.6,"7",0.0580754211702653,0.000952056084758448,2
"33","34",3,714.6,"7",0.0839940786405208,0.000958165189706568,3
"34","35",4,714.8,"7",0.0495496175143715,0.00184578863456906,4
"35","36",1,699.4,"7",0.0689458540413288,0.00804080565001308,0
"36","37",7,696.4,"7",0.0544583932913214,0.0119337071403761,1
"37","38",2,692.1,"7",0.0765822204565596,0.0039625543705243,3
"38","39",10,672.6,"11",0.112248670185455,0.00394323386252079,10
"39","40",2,671.8,"7",0.0749641964345295,0.00370611817486513,7
"40","41",0,669.7,"7",0.0559709262546233,0.00157664580998939,2
"41","42",2,678.6,"7",0.0364190633238226,0.00111741540731419,0
